propertyType,price,size,rooms,bathrooms,municipality,exterior,hasLift,hasPlan,has360,distancia_centro
flat,725.0,50.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,95.0,3 habitaciones,1 aseo,Alcalá de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
penthouse,700.0,30.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,700.0,27.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,650.0,59.0,2 habitaciones,1 aseo,Alcalá de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,550.0,40.0,1 habitacion,1 aseo,Paracuellos de Jarama,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,650.0,55.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,750.0,65.0,2 habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,725.0,70.0,2 habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,700.0,80.0,1 habitacion,1 aseo,Alcalá de Henares,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,650.0,40.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,695.0,90.0,3 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,55.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,650.0,65.0,2 habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,666.0,70.0,1 habitacion,2 aseos,Villanueva del Pardillo,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,750.0,78.0,2 habitaciones,2 aseos,Alcalá de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,630.0,74.0,3 habitaciones,1 aseo,El Molar,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
studio,635.0,55.0,sin habitaciones,1 aseo,Leganés,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,725.0,69.0,2 habitaciones,1 aseo,Collado Villalba,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,750.0,35.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,tiene planos,no tiene fotos 360,Menos de 1 km
flat,690.0,65.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
studio,700.0,30.0,sin habitaciones,1 aseo,Madrid,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,730.0,64.0,3 habitaciones,1 aseo,Parla,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,750.0,51.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,750.0,48.0,1 habitacion,1 aseo,Tres Cantos,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,690.0,35.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,750.0,74.0,3 habitaciones,1 aseo,Alcorcón,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
duplex,700.0,35.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Menos de 1 km
flat,720.0,42.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,595.0,55.0,1 habitacion,1 aseo,Quijorna,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,700.0,45.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,500.0,45.0,1 habitacion,1 aseo,Valdemorillo,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,700.0,75.0,2 habitaciones,1 aseo,Aranjuez,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 40 y 50 km
duplex,675.0,87.0,2 habitaciones,2 aseos,Miraflores de la Sierra,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 40 y 50 km
flat,650.0,45.0,1 habitacion,1 aseo,Pedrezuela,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
studio,750.0,55.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Menos de 1 km
studio,720.0,45.0,sin habitaciones,1 aseo,San Sebastián de los Reyes,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,624.0,45.0,1 habitacion,1 aseo,Valdemoro,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,633.0,45.0,1 habitacion,1 aseo,Valdemoro,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 20 y 30 km
studio,640.0,33.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,645.0,84.0,2 habitaciones,2 aseos,Aranjuez,vista exterior,tiene ascensor,no tiene planos,tiene fotos 360,Entre 40 y 50 km
flat,750.0,46.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 1 y 5 km
studio,735.0,35.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,600.0,55.0,1 habitacion,1 aseo,Daganzo de Arriba,vista exterior,desconocido,desconocido,desconocido,Entre 20 y 30 km
flat,750.0,75.0,3 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
penthouse,600.0,25.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,tiene fotos 360,Menos de 1 km
flat,705.0,48.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,650.0,62.0,2 habitaciones,1 aseo,Guadarrama,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 40 y 50 km
duplex,700.0,61.0,2 habitaciones,1 aseo,Cobeña,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
studio,650.0,40.0,sin habitaciones,1 aseo,Madrid,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,700.0,40.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,no tiene planos,no tiene fotos 360,Entre 1 y 5 km
flat,730.0,51.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,750.0,50.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
flat,680.0,56.0,2 habitaciones,1 aseo,Torrejón de Ardoz,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,710.0,78.0,3 habitaciones,1 aseo,Parla,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,720.0,47.0,2 habitaciones,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 5 y 10 km
studio,750.0,43.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
studio,695.0,40.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
flat,630.0,54.0,1 habitacion,2 aseos,El Álamo,vista exterior,desconocido,desconocido,desconocido,Entre 30 y 40 km
flat,750.0,90.0,3 habitaciones,1 aseo,Algete,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,730.0,50.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,600.0,90.0,3 habitaciones,1 aseo,Valdemoro,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 20 y 30 km
studio,650.0,45.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,38.0,1 habitacion,1 aseo,Madrid,vista interior,tiene ascensor,no tiene planos,no tiene fotos 360,Menos de 1 km
flat,730.0,50.0,1 habitacion,1 aseo,Rivas-Vaciamadrid,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
studio,735.0,30.0,sin habitaciones,1 aseo,Madrid,vista exterior,tiene ascensor,no tiene planos,tiene fotos 360,Entre 10 y 20 km
flat,610.0,72.0,1 habitacion,1 aseo,Pinto,vista interior,tiene ascensor,tiene planos,tiene fotos 360,Entre 10 y 20 km
chalet,580.0,54.0,3 habitaciones,2 aseos,Los Santos de la Humosa,vista interior,desconocido,no tiene planos,no tiene fotos 360,Entre 30 y 40 km
flat,725.0,50.0,1 habitacion,1 aseo,Villanueva del Pardillo,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,750.0,48.0,1 habitacion,1 aseo,Madrid,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,750.0,70.0,3 habitaciones,1 aseo,Alcalá de Henares,vista exterior,no tiene ascensor,tiene planos,no tiene fotos 360,Entre 20 y 30 km
flat,750.0,49.0,1 habitacion,1 aseo,Madrid,vista exterior,tiene ascensor,tiene planos,no tiene fotos 360,Entre 5 y 10 km
flat,730.0,60.0,3 habitaciones,1 aseo,Parla,vista exterior,no tiene ascensor,tiene planos,tiene fotos 360,Entre 20 y 30 km
flat,560.0,26.0,1 habitacion,1 aseo,Madrid,vista interior,no tiene ascensor,tiene planos,tiene fotos 360,Menos de 1 km
studio,700.0,23.0,sin habitaciones,1 aseo,Madrid,vista exterior,desconocido,desconocido,desconocido,Entre 1 y 5 km
flat,750.0,80.0,3 habitaciones,1 aseo,San Fernando de Henares,vista exterior,tiene ascensor,no tiene planos,no tiene fotos 360,Entre 10 y 20 km
