,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
98,flat,good,740.0,94.0,2,1,1,,El Vallejo,El Vallejo,Guadalajara,Azuqueca de Henares,True,True,False,False,False,40832,405708874.0,-32649786.0
99,flat,good,750.0,35.0,1,1,1,Lavapiés-Embajadores,"buenavista, 42",Centro,Madrid,Madrid,False,False,True,False,False,859,404093818.0,-36999866.0
100,flat,good,690.0,65.0,2,1,3,San Diego,"Calle imagen, 16",Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,4724,403842534.0,-36672159.0
101,studio,good,700.0,30.0,0,1,2,Lavapiés-Embajadores,"Calle de Tribulete, 25",Centro,Madrid,Madrid,False,True,False,False,False,1041,404073367.0,-3703392.0
102,flat,good,730.0,64.0,3,1,1,,Calle de Pablo VI,Pintores-Ferial,Madrid,Parla,True,False,True,False,True,20235,402401418.0,-37611554.0
103,flat,good,750.0,51.0,1,1,1,Opañel,Calle Pedro Campos,Carabanchel,Madrid,Madrid,True,True,False,False,False,3436,403883504.0,-37194063.0
104,flat,good,750.0,48.0,1,1,4,,Avenida del Parque,Zona Estación- Centro,Madrid,Tres Cantos,False,True,False,False,False,20526,406012733.0,-37082604.0
105,flat,good,690.0,35.0,1,1,,Berruguete,Calle del Cactus,Tetuán,Madrid,Madrid,True,False,False,False,False,4802,404598487.0,-37007082.0
106,flat,good,675.0,84.0,2,2,2,,Calle Rembrandt,El Quiñón,Toledo,Seseña,True,True,False,False,False,31698,401328108.0,-3669026.0
107,flat,good,750.0,74.0,3,1,4,Casco Antiguo,Calle Nueva,Centro,Madrid,Alcorcón,True,True,False,False,False,13017,403481835.0,-38278811.0
108,flat,good,650.0,84.0,2,1,1,,ILLESCAS,,Toledo,Yuncos,True,True,False,False,False,39064,400890898.0,-38695423.0
109,duplex,good,700.0,35.0,1,1,bj,Palacio,Calle de Fomento,Centro,Madrid,Madrid,True,False,False,False,False,852,404215077.0,-37110908.0
110,duplex,good,500.0,96.0,3,2,1,,Calle Pozas,,Toledo,Esquivias,True,False,False,False,True,35256,40103017.0,-37639826.0
111,flat,good,600.0,85.0,2,1,bj,,Calle los Perales,,Toledo,Yuncos,True,True,False,False,False,39619,400865355.0,-38788252.0
112,flat,good,720.0,42.0,1,1,4,Pinar del Rey,Santa Susana,Hortaleza,Madrid,Madrid,True,True,True,False,False,8333,404783138.0,-36471826.0
113,flat,good,595.0,55.0,1,1,1,,Erilla,,Madrid,Quijorna,True,False,True,False,False,29699,404261887.0,-40538894.0
114,flat,good,700.0,45.0,1,1,1,Palacio,San Isidro labrador,Centro,Madrid,Madrid,False,False,False,False,False,1113,404119172.0,-37148053.0
115,flat,good,750.0,90.0,3,1,3,,Calle del Cardenal González de Mendoza,Constitución-El Balconcillo,Guadalajara,Guadalajara,True,True,False,False,False,51046,406358154.0,-31724952.0
116,flat,good,500.0,45.0,1,1,,,Valdemorillo pueblo,Valdemorillo pueblo,Madrid,Valdemorillo,True,False,False,False,False,32188,405000981.0,-40675866.0
117,flat,good,750.0,149.0,2,2,bj,,Señorío de Illescas,Señorío de Illescas,Toledo,Illescas,True,False,False,False,False,31281,401572265.0,-38457831.0
118,flat,good,625.0,89.0,2,2,3,,El Quiñón,El Quiñón,Toledo,Seseña,True,True,True,False,False,31530,401342218.0,-36706083.0
119,flat,good,700.0,75.0,2,1,1,,"ABASTOS, 187",Nuevo Aranjuez-Ciudad de las Artes,Madrid,Aranjuez,True,False,True,False,False,43915,4003075.0,-359339.0
120,flat,good,550.0,100.0,3,2,bj,,Yuncler,,Toledo,Yuncler,True,True,False,False,False,44665,400436526.0,-3898436.0
121,duplex,good,675.0,87.0,2,2,2,,Calle CONCEJO,,Madrid,Miraflores de la Sierra,True,False,False,False,False,44503,408128999.0,-37780237.0
122,flat,good,650.0,45.0,1,1,bj,,Pedrezuela,,Madrid,Pedrezuela,True,False,False,False,False,37741,407471453.0,-3601093.0
123,studio,good,750.0,55.0,0,1,2,Lavapiés-Embajadores,"Plaza GENERAL VARA DE REY, 11",Centro,Madrid,Madrid,True,True,True,True,False,918,404095182.0,-37086213.0
124,studio,good,720.0,45.0,0,1,5,,"Avenida del Juncal, 11",Vega de la Moraleja,Madrid,San Sebastián de los Reyes,True,True,True,False,True,15433,405402351.0,-3620037.0
125,flat,newdevelopment,624.0,45.0,1,1,,,"Calle Agustina de Aragón , 49",Hospital,Madrid,Valdemoro,True,True,True,False,False,24077,402003307.0,-36919489.0
126,flat,newdevelopment,633.0,45.0,1,1,,,"Calle Agustina de Aragón , 49",Hospital,Madrid,Valdemoro,True,True,True,False,False,24077,402003307.0,-36919489.0
127,studio,good,640.0,33.0,0,1,2,Ensanche de Vallecas - La Gavia,"Calle Embalse de Navacerrada, 53",Villa de Vallecas,Madrid,Madrid,True,True,True,False,False,11189,403591678.0,-35948413.0
128,flat,good,645.0,84.0,2,2,2,,"Travesía de Noblejas, 2",Nuevo Aranjuez-Ciudad de las Artes,Madrid,Aranjuez,True,True,False,False,True,43827,400308188.0,-3597916.0
129,flat,good,750.0,46.0,1,1,3,Palacio,"CARRERA DE SAN FRANCISCO, 14",Centro,Madrid,Madrid,False,False,True,False,True,1069,404108822.0,-37133169.0
130,studio,good,735.0,35.0,0,1,1,Las Tablas,"Calle de María Tubau, 6",Fuencarral,Madrid,Madrid,True,True,True,False,True,11088,405137383.0,-36730214.0
131,flat,,600.0,55.0,1,1,,,Calle Alcalá,,Madrid,Daganzo de Arriba,True,,,,,25189,405454979.0,-34582275.0
132,flat,good,750.0,75.0,3,1,,Villaverde Alto,Calle de Gregorio Ortiz,Villaverde,Madrid,Madrid,True,False,False,False,False,8286,403422105.0,-37061586.0
133,penthouse,good,600.0,25.0,1,1,5,Sol,"Calle Carretas, 31",Centro,Madrid,Madrid,True,True,True,False,True,183,404150546.0,-3703188.0
134,flat,good,705.0,48.0,1,1,4,Ensanche de Vallecas - La Gavia,"Calle Arte Pop, 8",Villa de Vallecas,Madrid,Madrid,True,True,True,False,False,11472,403631821.0,-35874258.0
135,flat,good,500.0,90.0,3,2,2,,"Avenida RUFINO RUBIO, 65",,Toledo,Yeles,True,False,True,False,False,33940,401214643.0,-38048639.0
136,flat,good,650.0,62.0,2,1,3,,Calle Nuevo Guadarrama,,Madrid,Guadarrama,True,False,True,False,False,43229,406814972.0,-40779084.0
137,flat,,550.0,106.0,2,1,,,"Calle Cardenal Reig, 1",,Toledo,Ocaña,True,,,,,53694,399613738.0,-34926595.0
138,duplex,good,700.0,61.0,2,1,1,,Camino de Madrid,,Madrid,Cobeña,True,False,False,False,False,23917,405684393.0,-35027753.0
139,studio,good,650.0,40.0,0,1,en,Berruguete,Calle Berruguete,Tetuán,Madrid,Madrid,False,True,False,False,False,5088,404623825.0,-37067882.0
140,flat,good,700.0,40.0,1,1,bj,Puerta del Ángel,Calle de los Sagrados Corazones,Latina,Madrid,Madrid,True,False,False,False,False,3076,40408986.0,-37381489.0
141,flat,good,730.0,51.0,2,1,4,Los Rosales,Calle de Villajoyosa,Villaverde,Madrid,Madrid,True,False,True,False,True,6767,403566848.0,-36899208.0
142,flat,good,750.0,50.0,2,1,3,Casco Histórico de Vallecas,Calle de la Gavia Seca,Villa de Vallecas,Madrid,Madrid,True,False,True,False,True,8331,403782048.0,-3618842.0
143,flat,good,680.0,56.0,2,1,3,,Calle Madrid,Noroeste,Madrid,Torrejón de Ardoz,True,False,True,False,True,19298,404626558.0,-34833464.0
144,flat,good,710.0,78.0,3,1,4,,Calle Isaac Albéniz,Fuentebella-San Felix-El Leguario,Madrid,Parla,True,False,True,False,True,21617,40229689.0,-37729819.0
145,flat,good,720.0,47.0,2,1,1,Amposta,Calle de Arrozal,San Blas,Madrid,Madrid,True,False,True,False,True,7088,404264208.0,-36204865.0
146,studio,good,750.0,43.0,0,1,,Valdeacederas,Calle de las Azucenas,Tetuán,Madrid,Madrid,True,True,False,False,False,5332,404646408.0,-37015475.0
147,flat,good,650.0,81.0,2,2,1,,Calle Leonardo da Vinci,El Quiñón,Toledo,Seseña,True,True,False,False,False,31476,401348601.0,-36683768.0
148,studio,good,695.0,40.0,0,1,,Casco Histórico de Barajas,Calle Camarillas,Barajas,Madrid,Madrid,True,True,False,False,False,12376,404740632.0,-35779.0
149,flat,,630.0,54.0,1,2,,,Calle de Aniceto Gaitán Sánchez,,Madrid,El Álamo,True,,,,,32432,402326293.0,-4000047.0
150,flat,good,750.0,90.0,3,1,,,Calle Carrachel,,Madrid,Algete,True,True,False,False,False,26401,405996508.0,-35041753.0
151,flat,good,730.0,50.0,1,1,2,Casco Histórico de Vallecas,Metro congosto,Villa de Vallecas,Madrid,Madrid,True,True,False,False,False,8717,403709629.0,-36196403.0
152,flat,good,600.0,90.0,3,1,,,Calle del Pozo Chico,Centro,Madrid,Valdemoro,True,True,False,False,False,25182,401913355.0,-36737843.0
153,studio,good,650.0,45.0,0,1,bj,Pueblo Nuevo,"Calle de Fernando Gabriel, 16",Ciudad Lineal,Madrid,Madrid,True,True,False,False,False,5656,404245432.0,-36372252.0
154,flat,good,750.0,38.0,1,1,bj,Huertas-Cortes,"Calle de Atocha, 51",Centro,Madrid,Madrid,False,True,False,False,False,470,404130841.0,-3700354.0
155,flat,good,600.0,90.0,3,2,,,Travesía Soledad,,Guadalajara,El Casar,False,,False,False,False,39369,407028115.0,-34286808.0
156,flat,good,730.0,50.0,1,1,,,Calle Ana María Matute,Rivas Futura,Madrid,Rivas-Vaciamadrid,True,True,False,False,False,16410,403507361.0,-35299169.0
157,flat,good,550.0,90.0,3,2,,,Glorieta Ronda,,Toledo,Yuncler,True,False,False,False,False,44602,400441959.0,-38982087.0
158,penthouse,good,550.0,80.0,2,1,2,,"barrio de la estación, 2",,Toledo,Yeles,True,False,True,False,False,33038,401268056.0,-37887172.0
159,studio,good,735.0,30.0,0,1,2,Las Tablas,"Carretera Fuencarral a Alcobendas, 22",Fuencarral,Madrid,Madrid,True,True,False,False,True,11188,405147334.0,-36734076.0
160,flat,good,610.0,72.0,1,1,bj,,Calle de Pedro Faura,San José - Buenos Aires,Madrid,Pinto,False,True,True,False,True,19544,402409218.0,-37024263.0
161,flat,good,550.0,70.0,2,1,,,Ronda Quiñones,,Toledo,Cedillo del Condado,True,True,False,False,False,38520,401140717.0,-39242563.0
162,chalet,good,580.0,54.0,3,2,,,Los Santos de la Humosa,,Madrid,Los Santos de la Humosa,False,,False,False,False,39053,405008373.0,-3255075.0
163,flat,good,725.0,50.0,1,1,en,,"San Vicente de Paul, 3",Centro,Madrid,Villanueva del Pardillo,True,False,True,False,False,23787,404907977.0,-39669988.0
164,flat,good,750.0,48.0,1,1,1,Vista Alegre,Calle Juana Urosa,Carabanchel,Madrid,Madrid,True,False,True,False,False,5085,403827657.0,-37435256.0
165,flat,good,750.0,70.0,3,1,2,,Calle Escuelas Pías,San Isidro - Los Almendros,Madrid,Alcalá de Henares,True,False,True,False,False,29660,404866178.0,-33649445.0
166,flat,good,750.0,49.0,1,1,7,Pinar del Rey,"Calle de Santa Susana, 44",Hortaleza,Madrid,Madrid,True,True,True,False,False,8465,404798862.0,-36474341.0
167,flat,good,730.0,60.0,3,1,3,,Calle Alfonso X el Sabio,Reyes,Madrid,Parla,True,False,True,False,True,20948,402350913.0,-37690298.0
168,flat,good,560.0,26.0,1,1,bj,Lavapiés-Embajadores,Calle del Olivar,Centro,Madrid,Madrid,False,False,True,False,True,625,404115798.0,-37001991.0
169,studio,,700.0,23.0,0,1,,,"Princesa, 12",,Madrid,Madrid,True,,,,,1271,404257458.0,-37124453.0
170,flat,good,750.0,80.0,3,1,2,,"Calle Álava, 24",Parque Roma - Coronas,Madrid,San Fernando de Henares,True,True,False,False,False,14991,404193191.0,-35261909.0
171,flat,good,730.0,70.0,3,1,3,,Calle de Velázquez,Parque Europa - Los Pitufos,Madrid,Pinto,True,False,True,False,True,18781,402481518.0,-36887516.0
172,flat,good,730.0,52.0,2,1,4,Ambroz,Calle Efigenia,Vicálvaro,Madrid,Madrid,True,False,True,False,True,8827,40406043.0,-3599925.0
173,flat,good,740.0,64.0,2,1,3,Villaverde Alto,Calle Horcajo,Villaverde,Madrid,Madrid,True,False,True,False,True,8365,403419943.0,-37149759.0
