,propertyType,status,price,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance,latitude,longitude
174,flat,good,720.0,65.0,2,1,2,Los Rosales,Calle Eduardo Minguito,Villaverde,Madrid,Madrid,True,False,True,False,True,7511,403497973.0,-36909853.0
175,flat,good,720.0,63.0,2,1,2,,Calle del Inta,Noroeste,Madrid,Torrejón de Ardoz,True,False,True,False,True,19731,404601152.0,-3477174.0
176,flat,good,740.0,54.0,2,1,1,Los Rosales,Calle de Sáhara,Villaverde,Madrid,Madrid,True,True,True,False,True,6636,403577435.0,-36910449.0
177,flat,good,720.0,52.0,2,1,3,,Calle Zurbarán,La Alhóndiga,Madrid,Getafe,True,False,True,False,True,12695,403051933.0,-37355007.0
178,flat,good,730.0,45.0,2,1,3,San Diego,Calle de Manuel Maroto,Puente de Vallecas,Madrid,Madrid,True,False,True,False,True,4385,403865497.0,-3669867.0
179,duplex,,600.0,80.0,1,1,,,Plaza DE CIEZA,,Madrid,Madrid,False,,,,,7223,404811948.0,-37135583.0
180,duplex,,600.0,80.0,1,1,,,Plaza Cieza,,Madrid,Madrid,False,,,,,7141,404806948.0,-37104583.0
181,duplex,good,725.0,71.0,2,1,1,,Travesía Conquistadores,,Madrid,Cobeña,True,False,False,False,False,23158,405654436.0,-35115527.0
182,flat,good,675.0,76.0,3,1,2,,Calle Real-Fuentes,,Madrid,Aldea del Fresno,True,False,True,False,True,43485,403242709.0,-42020467.0
183,flat,good,750.0,54.0,1,1,3,,"REAL, 25  - 27",Centro Urbano,Madrid,San Sebastián de los Reyes,True,True,False,False,False,15834,405465444.0,-3626349.0
184,duplex,good,750.0,79.0,2,2,1,,Plaza Los Belgas,Villalba Estación,Madrid,Collado Villalba,True,False,False,False,False,34697,406305255.0,-40022515.0
185,flat,good,700.0,54.0,1,1,2,Almendrales,Calle de Almendrales,Usera,Madrid,Madrid,True,True,False,False,False,3354,403865719.0,-3701155.0
186,flat,good,750.0,54.0,2,1,3,Villaverde Alto,Calle Gómez Acebo,Villaverde,Madrid,Madrid,True,False,True,False,True,8322,403418891.0,-3706374.0
187,flat,good,730.0,48.0,2,1,3,Amposta,Calle Fotografía,San Blas,Madrid,Madrid,True,False,True,False,True,6997,404258749.0,-36214713.0
188,flat,good,650.0,61.0,2,1,4,,Calle Santa Fe,Reyes Católicos,Madrid,Alcalá de Henares,True,False,True,False,True,28605,404744046.0,-33738116.0
189,flat,good,730.0,63.0,2,1,1,Villaverde Alto,Avenida de Espinela,Villaverde,Madrid,Madrid,True,False,True,False,True,7893,403457921.0,-37078778.0
190,flat,good,720.0,50.0,2,1,2,Amposta,Calle de Arrozal,San Blas,Madrid,Madrid,True,False,True,False,True,7041,404285359.0,-36215247.0
191,flat,good,720.0,51.0,2,1,1,Amposta,Calle de las Encajeras,San Blas,Madrid,Madrid,True,False,True,False,True,6973,404282526.0,-36222803.0
192,flat,good,750.0,47.0,2,1,1,San Diego,Calle del Puerto de Arlabán,Puente de Vallecas,Madrid,Madrid,True,False,True,False,True,4538,403864987.0,-36671855.0
193,flat,good,730.0,50.0,2,1,3,Butarque,Calle de Vicente Carballal,Villaverde,Madrid,Madrid,True,False,True,False,True,7411,403518257.0,-36831326.0
194,flat,good,730.0,40.0,2,1,2,San Diego,Calle de García Llamas,Puente de Vallecas,Madrid,Madrid,True,False,True,False,True,4201,403877843.0,-3671312.0
195,flat,good,670.0,67.0,2,1,1,,Paseo de la Estación,Zona Estación,Madrid,Valdemoro,True,True,True,False,True,25100,4019213.0,-367304.0
196,flat,good,740.0,52.0,2,1,3,San Diego,Calle Martell,Puente de Vallecas,Madrid,Madrid,True,False,True,False,True,4862,403834771.0,-3665903.0
197,flat,good,720.0,69.0,2,1,1,,Calle Antonio Mejías Bienvenida,Chorrillo,Madrid,Alcalá de Henares,True,True,True,False,True,29084,404890164.0,-33728895.0
198,flat,good,750.0,59.0,2,1,4,Villaverde Alto,Calle Sargento Barriga,Villaverde,Madrid,Madrid,True,False,True,False,True,8400,403411511.0,-37043589.0
