propertyType,status,price,priceByArea,size,rooms,bathrooms,floor,neighborhood,address,district,province,municipality,exterior,hasLift,hasPlan,has3DTour,has360,distance
flat,good,720.0,5.0,133.0,3,2,1,,Calle de Nicolás Fuster,San José - Buenos Aires,Madrid,Pinto,False,True,True,False,True,19453
flat,good,700.0,3.0,230.0,4,2,,,Pozo de Guadalajara,,Guadalajara,Pozo de Guadalajara,True,,False,False,False,45171
flat,good,600.0,12.0,50.0,1,1,,,Calle Antonio Van de Pere,Hospital,Madrid,Valdemoro,True,True,False,False,False,24430
flat,good,650.0,11.0,61.0,1,1,2,,Calle Gabriel García Márquez,Parque de la Coruña - Las Suertes,Madrid,Collado Villalba,True,True,False,False,False,34886
flat,good,650.0,10.0,65.0,2,1,3,Valderas - Los Castillos,barrio Valderas - Los Castillos,Valderas - Los Castillos,Madrid,Alcorcón,False,False,False,False,False,11537
flat,good,700.0,16.0,45.0,1,1,3,Casco Histórico de Barajas,barrio Casco Histórico de Barajas,Barajas,Madrid,Madrid,True,False,False,False,False,12321
flat,good,625.0,10.0,62.0,2,1,bj,,Calle Jacinto Benavente,Getafe Centro,Madrid,Getafe,True,False,False,False,False,11666
flat,good,595.0,13.0,45.0,1,1,bj,Aluche,Calle Marcelino Castillo,Latina,Madrid,Madrid,True,False,False,False,False,4543
flat,good,650.0,12.0,55.0,1,1,4,Rejas,barrio Rejas,San Blas,Madrid,Madrid,True,True,False,False,False,10495
flat,good,725.0,15.0,50.0,1,1,2,Villaverde Alto,SANTA CRISTINA,Villaverde,Madrid,Madrid,True,True,True,False,False,7708
flat,good,750.0,8.0,95.0,3,1,8,,Calle Infante don luis,Reyes Católicos,Madrid,Alcalá de Henares,True,True,False,False,False,28483
penthouse,good,700.0,23.0,30.0,1,1,1,Rejas,"Avenida de Aragón, 376",San Blas,Madrid,Madrid,True,True,False,False,True,12049
flat,good,700.0,26.0,27.0,1,1,3,Lavapiés-Embajadores,Calle de Miguel Servet,Centro,Madrid,Madrid,False,False,False,False,False,1391
flat,good,650.0,11.0,59.0,2,1,1,,Val,Val,Madrid,Alcalá de Henares,True,True,False,False,False,30562
flat,good,550.0,14.0,40.0,1,1,3,,Casco Urbano,Casco Urbano,Madrid,Paracuellos de Jarama,True,True,False,False,False,17750
flat,good,650.0,12.0,55.0,1,1,4,Rejas,barrio Rejas,San Blas,Madrid,Madrid,True,True,False,False,False,10296
flat,good,750.0,12.0,65.0,2,1,,Pueblo Nuevo,Calle Francisco Rioja,Ciudad Lineal,Madrid,Madrid,True,True,False,False,False,5580
flat,good,725.0,10.0,70.0,2,1,,Entrevías,Calle de Concejo de Teverga,Puente de Vallecas,Madrid,Madrid,True,True,False,False,False,4117
flat,good,700.0,9.0,80.0,1,1,1,,Mayor,Casco Histórico,Madrid,Alcalá de Henares,True,False,False,False,False,29460
flat,good,650.0,16.0,40.0,1,1,bj,Casco Histórico de Barajas,"BENITEZ, 15",Barajas,Madrid,Madrid,True,True,False,False,False,12224
flat,good,695.0,8.0,90.0,3,1,,Los Rosales,Calle Ámbar,Villaverde,Madrid,Madrid,True,False,False,False,False,7729
flat,good,750.0,14.0,55.0,1,1,,Quintana,Calle de Alcalá,Ciudad Lineal,Madrid,Madrid,True,False,False,False,False,6017
flat,good,650.0,10.0,65.0,2,1,,Águilas,Calle de Fuente de Lima,Latina,Madrid,Madrid,True,True,False,False,False,7559
flat,good,666.0,10.0,70.0,1,2,1,,Calle Mercurio,Los Llanos - Valle Pardo,Madrid,Villanueva del Pardillo,True,True,False,False,False,24862
flat,good,750.0,10.0,78.0,2,2,,,Calle José María Pereda,Ensanche,Madrid,Alcalá de Henares,True,True,False,False,False,29976
flat,good,630.0,9.0,74.0,3,1,,,Calle el Almendro,,Madrid,El Molar,True,True,False,False,False,36483
studio,good,635.0,12.0,55.0,0,1,2,Valdepelayo-Montepinos-Arroyo Culebro,Arquímedes,Valdepelayo - Montepinos - Arroyo Culebro,Madrid,Leganés,True,True,False,False,False,14528
flat,good,725.0,11.0,69.0,2,1,1,,"huerta, 6",Dehesa - El Soto,Madrid,Collado Villalba,True,True,False,False,False,35892
flat,good,740.0,8.0,94.0,2,1,1,,El Vallejo,El Vallejo,Guadalajara,Azuqueca de Henares,True,True,False,False,False,40832
flat,good,750.0,21.0,35.0,1,1,1,Lavapiés-Embajadores,"buenavista, 42",Centro,Madrid,Madrid,False,False,True,False,False,859
flat,good,690.0,11.0,65.0,2,1,3,San Diego,"Calle imagen, 16",Puente de Vallecas,Madrid,Madrid,True,False,False,False,False,4724
studio,good,700.0,23.0,30.0,0,1,2,Lavapiés-Embajadores,"Calle de Tribulete, 25",Centro,Madrid,Madrid,False,True,False,False,False,1041
flat,good,730.0,11.0,64.0,3,1,1,,Calle de Pablo VI,Pintores-Ferial,Madrid,Parla,True,False,True,False,True,20235
flat,good,750.0,15.0,51.0,1,1,1,Opañel,Calle Pedro Campos,Carabanchel,Madrid,Madrid,True,True,False,False,False,3436
flat,good,750.0,16.0,48.0,1,1,4,,Avenida del Parque,Zona Estación- Centro,Madrid,Tres Cantos,False,True,False,False,False,20526
flat,good,690.0,20.0,35.0,1,1,,Berruguete,Calle del Cactus,Tetuán,Madrid,Madrid,True,False,False,False,False,4802
flat,good,675.0,8.0,84.0,2,2,2,,Calle Rembrandt,El Quiñón,Toledo,Seseña,True,True,False,False,False,31698
flat,good,750.0,10.0,74.0,3,1,4,Casco Antiguo,Calle Nueva,Centro,Madrid,Alcorcón,True,True,False,False,False,13017
flat,good,650.0,8.0,84.0,2,1,1,,ILLESCAS,,Toledo,Yuncos,True,True,False,False,False,39064
duplex,good,700.0,20.0,35.0,1,1,bj,Palacio,Calle de Fomento,Centro,Madrid,Madrid,True,False,False,False,False,852
duplex,good,500.0,5.0,96.0,3,2,1,,Calle Pozas,,Toledo,Esquivias,True,False,False,False,True,35256
flat,good,600.0,7.0,85.0,2,1,bj,,Calle los Perales,,Toledo,Yuncos,True,True,False,False,False,39619
flat,good,720.0,17.0,42.0,1,1,4,Pinar del Rey,Santa Susana,Hortaleza,Madrid,Madrid,True,True,True,False,False,8333
flat,good,595.0,11.0,55.0,1,1,1,,Erilla,,Madrid,Quijorna,True,False,True,False,False,29699
flat,good,700.0,16.0,45.0,1,1,1,Palacio,San Isidro labrador,Centro,Madrid,Madrid,False,False,False,False,False,1113
flat,good,750.0,8.0,90.0,3,1,3,,Calle del Cardenal González de Mendoza,Constitución-El Balconcillo,Guadalajara,Guadalajara,True,True,False,False,False,51046
flat,good,500.0,11.0,45.0,1,1,,,Valdemorillo pueblo,Valdemorillo pueblo,Madrid,Valdemorillo,True,False,False,False,False,32188
flat,good,750.0,5.0,149.0,2,2,bj,,Señorío de Illescas,Señorío de Illescas,Toledo,Illescas,True,False,False,False,False,31281
flat,good,625.0,7.0,89.0,2,2,3,,El Quiñón,El Quiñón,Toledo,Seseña,True,True,True,False,False,31530
flat,good,700.0,9.0,75.0,2,1,1,,"ABASTOS, 187",Nuevo Aranjuez-Ciudad de las Artes,Madrid,Aranjuez,True,False,True,False,False,43915
flat,good,550.0,6.0,100.0,3,2,bj,,Yuncler,,Toledo,Yuncler,True,True,False,False,False,44665
duplex,good,675.0,8.0,87.0,2,2,2,,Calle CONCEJO,,Madrid,Miraflores de la Sierra,True,False,False,False,False,44503
flat,good,650.0,14.0,45.0,1,1,bj,,Pedrezuela,,Madrid,Pedrezuela,True,False,False,False,False,37741
studio,good,750.0,14.0,55.0,0,1,2,Lavapiés-Embajadores,"Plaza GENERAL VARA DE REY, 11",Centro,Madrid,Madrid,True,True,True,True,False,918
studio,good,720.0,16.0,45.0,0,1,5,,"Avenida del Juncal, 11",Vega de la Moraleja,Madrid,San Sebastián de los Reyes,True,True,True,False,True,15433
flat,newdevelopment,624.0,14.0,45.0,1,1,,,"Calle Agustina de Aragón , 49",Hospital,Madrid,Valdemoro,True,True,True,False,False,24077
flat,newdevelopment,633.0,14.0,45.0,1,1,,,"Calle Agustina de Aragón , 49",Hospital,Madrid,Valdemoro,True,True,True,False,False,24077
